M,D,A,Cy,Cx,Cya,Cxa,Cxdn,mz
2,20,-32,-6.921,1.182,-5.243,4.498,0.012,-14.386
2,20,-28,-5.629,1.252,-4.383,3.592,0.012,-11.345
2,20,-24,-4.372,1.321,-3.457,2.848,0.012,-8.303
2,20,-20,-3.14,1.387,-2.476,2.261,0.012,-5.259
2,20,-16,-1.98,1.448,-1.505,1.844,0.012,-2.414
2,20,-12,-0.899,1.504,-0.567,1.589,0.012,0.823
2,20,-8,-0.222,1.555,-0.003,1.526,0.012,3.87
2,20,-4,0.219,1.6,0.33,1.559,0.012,6.916
2,20,0,0.574,1.637,0.574,1.637,0.012,9.963
2,20,4,0.917,1.666,0.799,1.747,0.012,13.01
2,20,8,1.324,1.685,1.076,1.896,0.012,16.055
2,20,12,1.944,1.694,1.55,2.125,0.012,19.1
2,20,16,2.949,1.693,2.368,2.524,0.012,22.144
2,20,20,4.009,1.681,3.193,3.052,0.012,25.186
2,20,24,5.117,1.658,4,3.713,0.012,28.228
2,20,28,6.227,1.625,4.735,4.488,0.012,31.269
2,20,32,7.355,1.583,5.398,5.378,0.012,34.309
2,20,36,8.489,1.533,5.967,6.372,0.012,37.347
2,20,40,9.61,1.474,6.415,7.45,0.012,40.384
2,30,-40,-9.258,1.037,-6.426,6.444,0.012,-15.484
2,30,-36,-7.936,1.128,-5.758,5.291,0.012,-12.444
2,30,-32,-6.617,1.219,-4.966,4.276,0.012,-9.402
2,30,-28,-5.326,1.309,-4.088,3.418,0.012,-6.358
2,30,-24,-4.078,1.395,-3.158,2.725,0.012,-3.677
2,30,-20,-2.859,1.478,-2.181,2.192,0.012,-0.287
2,30,-16,-1.71,1.556,-1.215,1.828,0.012,2.761
2,30,-12,-0.643,1.629,-0.29,1.624,0.012,5.806
2,30,-8,0.012,1.693,0.248,1.608,0.012,8.852
2,30,-4,0.424,1.747,0.544,1.681,0.012,11.898
2,30,0,0.743,1.79,0.743,1.79,0.012,14.945
2,30,4,1.045,1.821,0.915,1.921,0.012,17.991
2,30,8,1.406,1.838,1.136,2.078,0.012,21.037
2,30,12,1.978,1.842,1.552,2.305,0.012,24.081
2,30,16,2.933,1.831,2.315,2.688,0.012,27.125
2,30,20,3.944,1.806,3.088,3.189,0.012,30.167
2,30,24,5.002,1.768,3.851,3.813,0.012,33.208
2,30,28,6.067,1.716,4.552,4.542,0.012,36.249
2,30,32,7.153,1.654,5.19,5.381,0.012,39.288
2,30,36,8.251,1.581,5.746,6.321,0.012,42.325
2,30,40,9.342,1.5,6.193,7.344,0.012,45.36
3,-30,-40,-2.214,1.207,-0.92,2.518,0.012,-35.42
3,-30,-36,-7.925,1.266,-5.668,5.851,0.012,-32.675
3,-30,-32,-6.803,1.316,-5.072,4.884,0.012,-29.929
3,-30,-28,-5.717,1.358,-4.41,4.035,0.012,-27.182
3,-30,-24,-4.682,1.39,-3.712,3.311,0.012,-24.435
3,-30,-20,-3.706,1.412,-3,2.712,0.012,-21.687
3,-30,-16,-2.806,1.423,-2.305,2.237,0.012,-18.938
3,-30,-12,-1.966,1.423,-1.627,1.873,0.012,-16.189
3,-30,-8,-1.212,1.412,-1.004,1.615,0.012,-13.439
3,-30,-4,-0.79,1.392,-0.691,1.467,0.012,-10.689
3,-30,0,-0.51,1.361,-0.51,1.361,0.012,-7.938
3,-30,4,-0.226,1.321,-0.318,1.278,0.012,-5.187
3,-30,8,0.211,1.273,0.032,1.239,0.012,-2.436
3,-30,12,0.99,1.218,0.715,1.316,0.012,0.316
3,-30,16,1.863,1.158,1.472,1.514,0.012,3.067
3,-30,20,2.805,1.092,2.263,1.843,0.012,5.822
3,-30,24,3.831,1.024,3.083,2.32,0.012,8.547
3,-30,28,4.931,0.949,3.909,2.951,0.012,11.308
3,-30,32,6.103,0.869,4.715,3.742,0.012,14.058
3,-30,36,7.327,0.784,5.467,4.69,0.012,16.806
3,-30,40,1.733,0.697,0.879,1.379,0.012,19.553
3,-20,-40,-2.327,1.105,-1.072,2.471,0.012,-32.777
3,-20,-36,-8.01,1.153,-5.803,5.766,0.012,-30.031
3,-20,-32,-6.859,1.195,-5.184,4.767,0.012,-27.284
3,-20,-28,-5.743,1.23,-4.494,3.892,0.012,-24.537
3,-20,-24,-4.679,1.258,-3.763,3.15,0.012,-21.79
3,-20,-20,-3.674,1.277,-3.016,2.54,0.012,-19.041
3,-20,-16,-2.746,1.288,-2.285,2.063,0.012,-16.293
3,-20,-12,-1.881,1.291,-1.571,1.704,0.012,-13.544
3,-20,-8,-1.104,1.285,-0.915,1.459,0.012,-10.794
3,-20,-4,-0.663,1.271,-0.572,1.33,0.012,-8.043
3,-20,0,-0.368,1.249,-0.368,1.249,0.012,-5.292
3,-20,4,-0.071,1.22,-0.156,1.195,0.012,-2.54
3,-20,8,0.373,1.184,0.205,1.189,0.012,0.211
3,-20,12,1.154,1.142,0.892,1.302,0.012,2.963
3,-20,16,2.026,1.095,1.646,1.536,0.012,5.7
3,-20,20,2.972,1.042,2.437,1.901,0.012,8.458
3,-20,24,4.013,0.982,3.267,2.415,0.012,11.208
3,-20,28,5.129,0.916,4.098,3.084,0.012,13.956
3,-20,32,6.311,0.847,4.904,3.914,0.012,16.704
3,-20,36,7.542,0.774,5.647,4.897,0.012,19.452
3,-20,40,1.95,0.701,1.044,1.618,0.012,22.199
3,-10,-40,-2.355,0.979,-1.174,2.335,0.012,-30.133
3,-10,-36,-8.007,1.024,-5.876,5.603,0.012,-27.386
3,-10,-32,-6.825,1.065,-5.224,4.584,0.012,-24.64
3,-10,-28,-5.68,1.101,-4.498,3.697,0.012,-21.892
3,-10,-24,-4.588,1.132,-3.731,2.952,0.012,-19.144
3,-10,-20,-3.559,1.156,-2.949,2.348,0.012,-16.396
3,-10,-16,-2.609,1.175,-2.185,1.884,0.012,-13.647
3,-10,-12,-1.726,1.186,-1.442,1.545,0.012,-10.898
3,-10,-8,-0.936,1.19,-0.761,1.326,0.012,-8.148
3,-10,-4,-0.485,1.188,-0.401,1.227,0.012,-5.397
3,-10,0,-0.186,1.179,-0.186,1.179,0.012,-2.646
3,-10,4,0.11,1.163,0.029,1.159,0.012,0.106
3,-10,8,0.55,1.14,0.385,1.188,0.012,2.851
3,-10,12,1.331,1.111,1.071,1.336,0.012,5.606
3,-10,16,2.215,1.075,1.833,1.607,0.012,8.356
3,-10,20,3.174,1.032,2.63,2.009,0.012,11.105
3,-10,24,4.223,0.984,3.458,2.56,0.012,13.854
3,-10,28,5.343,0.931,4.281,3.266,0.012,16.602
3,-10,32,6.524,0.874,5.07,4.127,0.012,19.35
3,-10,36,7.75,0.816,5.79,5.137,0.012,22.097
3,-10,40,2.148,0.756,1.159,1.878,0.012,24.844
3,0,-40,-2.291,0.855,-1.206,2.128,0.012,-27.488
3,0,-36,-7.914,0.904,-5.872,5.383,0.012,-24.742
3,0,-32,-6.706,0.951,-5.183,4.36,0.012,-21.995
3,0,-28,-5.538,0.995,-4.423,3.479,0.012,-19.247
3,0,-24,-4.427,1.035,-3.623,2.746,0.012,-16.499
3,0,-20,-3.382,1.071,-2.811,2.163,0.012,-13.751
3,0,-16,-2.421,1.101,-2.024,1.725,0.012,-11.002
3,0,-12,-1.531,1.124,-1.264,1.418,0.012,-8.252
3,0,-8,-0.739,1.142,-0.573,1.234,0.012,-5.502
3,0,-4,-0.292,1.152,-0.211,1.17,0.012,-2.752
3,0,0,0,1.156,0,1.156,0.012,0
3,0,4,0.292,1.152,0.211,1.17,0.012,2.752
3,0,8,0.739,1.142,0.573,1.234,0.012,5.502
3,0,12,1.531,1.124,1.264,1.418,0.012,8.252
3,0,16,2.421,1.101,2.024,1.725,0.012,11.002
3,0,20,3.382,1.071,2.811,2.163,0.012,13.751
3,0,24,4.427,1.035,3.623,2.746,0.012,16.499
3,0,28,5.538,0.995,4.423,3.479,0.012,19.247
3,0,32,6.706,0.951,5.183,4.36,0.012,21.995
3,0,36,7.914,0.904,5.872,5.383,0.012,24.742
3,0,40,2.291,0.855,1.206,2.128,0.012,27.488
3,10,-40,-2.148,0.756,-1.159,1.878,0.012,-24.844
3,10,-36,-7.75,0.816,-5.79,5.137,0.012,-22.097
3,10,-32,-6.524,0.874,-5.07,4.127,0.012,-19.35
3,10,-28,-5.343,0.931,-4.281,3.266,0.012,-16.602
3,10,-24,-4.223,0.984,-3.458,2.56,0.012,-13.854
3,10,-20,-3.174,1.032,-2.63,2.009,0.012,-11.105
3,10,-16,-2.215,1.075,-1.833,1.607,0.012,-8.356
3,10,-12,-1.331,1.111,-1.071,1.336,0.012,-5.606
3,10,-8,-0.55,1.14,-0.385,1.188,0.012,-2.851
3,10,-4,-0.11,1.163,-0.029,1.159,0.012,-0.106
3,10,0,0.186,1.179,0.186,1.179,0.012,2.646
3,10,4,0.485,1.188,0.401,1.227,0.012,5.397
3,10,8,0.936,1.19,0.761,1.326,0.012,8.148
3,10,12,1.726,1.186,1.442,1.545,0.012,10.898
3,10,16,2.609,1.175,2.185,1.884,0.012,13.647
3,10,20,3.559,1.156,2.949,2.348,0.012,16.396
3,10,24,4.588,1.132,3.731,2.952,0.012,19.144
3,10,28,5.68,1.101,4.498,3.697,0.012,21.892
3,10,32,6.825,1.065,5.224,4.584,0.012,24.64
3,10,36,8.007,1.024,5.876,5.603,0.012,27.386
3,10,40,2.355,0.979,1.174,2.335,0.012,30.133
3,20,-40,-1.95,0.701,-1.044,1.618,0.012,-22.199
3,20,-36,-7.542,0.774,-5.647,4.897,0.012,-19.452
3,20,-32,-6.311,0.847,-4.904,3.914,0.012,-16.704
3,20,-28,-5.129,0.916,-4.098,3.084,0.012,-13.956
3,20,-24,-4.013,0.982,-3.267,2.415,0.012,-11.208
3,20,-20,-2.972,1.042,-2.437,1.901,0.012,-8.458
3,20,-16,-2.026,1.095,-1.646,1.536,0.012,-5.7
3,20,-12,-1.154,1.142,-0.892,1.302,0.012,-2.963
3,20,-8,-0.373,1.184,-0.205,1.189,0.012,-0.211
3,20,-4,0.071,1.22,0.156,1.195,0.012,2.54
3,20,0,0.368,1.249,0.368,1.249,0.012,5.292
3,20,4,0.663,1.271,0.572,1.33,0.012,8.043
3,20,8,1.104,1.285,0.915,1.459,0.012,10.794
3,20,12,1.881,1.291,1.571,1.704,0.012,13.544
3,20,16,2.746,1.288,2.285,2.063,0.012,16.293
3,20,20,3.674,1.277,3.016,2.54,0.012,19.041
3,20,24,4.679,1.258,3.763,3.15,0.012,21.79
3,20,28,5.743,1.23,4.494,3.892,0.012,24.537
3,20,32,6.859,1.195,5.184,4.767,0.012,27.284
3,20,36,8.01,1.153,5.803,5.766,0.012,30.031
3,20,40,2.327,1.105,1.072,2.471,0.012,32.777
3,30,-40,-1.733,0.697,-0.879,1.379,0.012,-19.553
3,30,-36,-7.327,0.784,-5.467,4.69,0.012,-16.806
3,30,-32,-6.103,0.869,-4.715,3.742,0.012,-14.058
3,30,-28,-4.931,0.949,-3.909,2.951,0.012,-11.308
3,30,-24,-3.831,1.024,-3.083,2.32,0.012,-8.547
3,30,-20,-2.805,1.092,-2.263,1.843,0.012,-5.822
3,30,-16,-1.863,1.158,-1.472,1.514,0.012,-3.067
3,30,-12,-0.99,1.218,-0.715,1.316,0.012,-0.316
3,30,-8,-0.211,1.273,-0.032,1.239,0.012,2.436
3,30,-4,0.226,1.321,0.318,1.278,0.012,5.187
3,30,0,0.51,1.361,0.51,1.361,0.012,7.938
3,30,4,0.79,1.392,0.691,1.467,0.012,10.689
3,30,8,1.212,1.412,1.004,1.615,0.012,13.439
3,30,12,1.966,1.423,1.627,1.873,0.012,16.189
3,30,16,2.806,1.423,2.305,2.237,0.012,18.938
3,30,20,3.706,1.412,3,2.712,0.012,21.687
3,30,24,4.682,1.39,3.712,3.311,0.012,24.435
3,30,28,5.717,1.358,4.41,4.035,0.012,27.182
3,30,32,6.803,1.316,5.072,4.884,0.012,29.929
3,30,36,7.925,1.266,5.668,5.851,0.012,32.675
3,30,40,2.214,1.207,0.92,2.518,0.012,35.42
4,-30,-40,-2.028,0.959,-0.938,2.189,0.008,-31.913
4,-30,-36,-1.948,1.013,-0.981,2.112,0.008,-29.326
4,-30,-32,-1.845,1.059,-1.003,2.016,0.008,-26.739
4,-30,-28,-5.387,1.098,-4.241,3.627,0.008,-24.151
4,-30,-24,-4.366,1.127,-3.53,2.919,0.008,-21.563
4,-30,-20,-3.432,1.147,-2.833,2.348,0.008,-18.975
4,-30,-16,-2.589,1.157,-2.17,1.903,0.008,-16.386
4,-30,-12,-1.843,1.157,-1.562,1.572,0.008,-13.797
4,-30,-8,-1.18,1.146,-1.009,1.337,0.008,-11.208
4,-30,-4,-0.692,1.127,-0.612,1.19,0.008,-8.618
4,-30,0,-0.439,1.098,-0.439,1.098,0.008,-6.027
4,-30,4,-0.185,1.06,-0.258,1.026,0.008,-3.437
4,-30,8,0.309,1.015,0.164,1.008,0.008,-0.846
4,-30,12,0.981,0.964,0.759,1.082,0.008,1.745
4,-30,16,1.74,0.906,1.423,1.26,0.008,4.336
4,-30,20,2.599,0.844,2.153,1.564,0.008,6.931
4,-30,24,3.552,0.779,2.928,2.011,0.008,9.499
4,-30,28,4.607,0.707,3.736,2.616,0.008,12.098
4,-30,32,1.116,0.629,0.613,0.928,0.008,14.688
4,-30,36,1.288,0.545,0.722,0.979,0.008,17.277
4,-30,40,1.452,0.458,0.818,1.045,0.008,19.865
4,-20,-40,-2.099,0.841,-1.068,2.107,0.008,-29.905
4,-20,-36,-1.993,0.888,-1.091,2,0.008,-27.318
4,-20,-32,-1.864,0.93,-1.088,1.879,0.008,-24.731
4,-20,-28,-5.381,0.966,-4.298,3.472,0.008,-22.143
4,-20,-24,-4.335,0.994,-3.556,2.753,0.008,-19.555
4,-20,-20,-3.377,1.015,-2.827,2.178,0.008,-16.966
4,-20,-16,-2.513,1.028,-2.132,1.736,0.008,-14.377
4,-20,-12,-1.748,1.033,-1.495,1.414,0.008,-11.788
4,-20,-8,-1.069,1.029,-0.916,1.194,0.008,-9.199
4,-20,-4,-0.569,1.018,-0.496,1.068,0.008,-6.609
4,-20,0,-0.307,0.999,-0.307,0.999,0.008,-4.018
4,-20,4,-0.047,0.973,-0.115,0.954,0.008,-1.427
4,-20,8,0.448,0.94,0.313,0.965,0.008,1.164
4,-20,12,1.118,0.9,0.906,1.07,0.008,3.756
4,-20,16,1.871,0.856,1.562,1.278,0.008,6.334
4,-20,20,2.732,0.804,2.292,1.612,0.008,8.931
4,-20,24,3.701,0.745,3.078,2.09,0.008,11.521
4,-20,28,4.773,0.679,3.896,2.728,0.008,14.109
4,-20,32,1.297,0.608,0.777,1.075,0.008,16.698
4,-20,36,1.479,0.534,0.883,1.16,0.008,19.286
4,-20,40,1.65,0.457,0.97,1.258,0.008,21.874
4,-10,-40,-2.088,0.711,-1.142,1.949,0.008,-27.898
4,-10,-36,-1.956,0.759,-1.137,1.823,0.008,-25.31
4,-10,-32,-1.802,0.802,-1.103,1.691,0.008,-22.723
4,-10,-28,-5.296,0.842,-4.281,3.279,0.008,-20.135
4,-10,-24,-4.229,0.876,-3.508,2.563,0.008,-17.546
4,-10,-20,-3.255,0.903,-2.749,1.998,0.008,-14.958
4,-10,-16,-2.376,0.925,-2.029,1.572,0.008,-12.369
4,-10,-12,-1.6,0.939,-1.37,1.272,0.008,-9.78
4,-10,-8,-0.915,0.947,-0.774,1.078,0.008,-7.19
4,-10,-4,-0.411,0.947,-0.344,0.98,0.008,-4.6
4,-10,0,-0.15,0.94,-0.15,0.94,0.008,-2.009
4,-10,4,0.104,0.926,0.04,0.924,0.008,0.582
4,-10,8,0.591,0.905,0.459,0.964,0.008,3.168
4,-10,12,1.259,0.876,1.049,1.097,0.008,5.762
4,-10,16,2.025,0.84,1.715,1.335,0.008,8.351
4,-10,20,2.902,0.796,2.455,1.702,0.008,10.941
4,-10,24,3.883,0.746,3.244,2.214,0.008,13.53
4,-10,28,4.964,0.69,4.059,2.885,0.008,16.118
4,-10,32,1.491,0.63,0.931,1.263,0.008,18.706
4,-10,36,1.675,0.568,1.021,1.376,0.008,21.294
4,-10,40,1.842,0.503,1.088,1.497,0.008,23.882
4,0,-40,-1.997,0.592,-1.149,1.737,0.008,-25.89
4,0,-36,-1.843,0.646,-1.112,1.606,0.008,-23.302
4,0,-32,-1.67,0.697,-1.047,1.476,0.008,-20.715
4,0,-28,-5.148,0.746,-4.196,3.075,0.008,-18.126
4,0,-24,-4.069,0.789,-3.397,2.376,0.008,-15.538
4,0,-20,-3.086,0.828,-2.617,1.834,0.008,-12.949
4,0,-16,-2.203,0.861,-1.88,1.435,0.008,-10.36
4,0,-12,-1.427,0.887,-1.211,1.164,0.008,-7.771
4,0,-8,-0.745,0.906,-0.612,1.001,0.008,-5.181
4,0,-4,-0.249,0.917,-0.185,0.933,0.008,-2.591
4,0,0,0,0.921,0,0.921,0.008,0
4,0,4,0.249,0.917,0.185,0.933,0.008,2.591
4,0,8,0.745,0.906,0.612,1.001,0.008,5.181
4,0,12,1.427,0.887,1.211,1.164,0.008,7.771
4,0,16,2.203,0.861,1.88,1.435,0.008,10.36
4,0,20,3.086,0.828,2.617,1.834,0.008,12.949
4,0,24,4.069,0.789,3.397,2.376,0.008,15.538
4,0,28,5.148,0.746,4.196,3.075,0.008,18.126
4,0,32,1.67,0.697,1.047,1.476,0.008,20.715
4,0,36,1.843,0.646,1.112,1.606,0.008,23.302
4,0,40,1.997,0.592,1.149,1.737,0.008,25.89
4,10,-40,-1.842,0.503,-1.088,1.497,0.008,-23.882
4,10,-36,-1.675,0.568,-1.021,1.376,0.008,-21.294
4,10,-32,-1.491,0.63,-0.931,1.263,0.008,-18.706
4,10,-28,-4.964,0.69,-4.059,2.885,0.008,-16.118
4,10,-24,-3.883,0.746,-3.244,2.214,0.008,-13.53
4,10,-20,-2.902,0.796,-2.455,1.702,0.008,-10.941
4,10,-16,-2.025,0.84,-1.715,1.335,0.008,-8.351
4,10,-12,-1.259,0.876,-1.049,1.097,0.008,-5.762
4,10,-8,-0.591,0.905,-0.459,0.964,0.008,-3.168
4,10,-4,-0.104,0.926,-0.04,0.924,0.008,-0.582
4,10,0,0.15,0.94,0.15,0.94,0.008,2.009
4,10,4,0.411,0.947,0.344,0.98,0.008,4.6
4,10,8,0.915,0.947,0.774,1.078,0.008,7.19
4,10,12,1.6,0.939,1.37,1.272,0.008,9.78
4,10,16,2.376,0.925,2.029,1.572,0.008,12.369
4,10,20,3.255,0.903,2.749,1.998,0.008,14.958
4,10,24,4.229,0.876,3.508,2.563,0.008,17.546
4,10,28,5.296,0.842,4.281,3.279,0.008,20.135
4,10,32,1.802,0.802,1.103,1.691,0.008,22.723
4,10,36,1.956,0.759,1.137,1.823,0.008,25.31
4,10,40,2.088,0.711,1.142,1.949,0.008,27.898
4,20,-40,-1.65,0.457,-0.97,1.258,0.008,-21.874
4,20,-36,-1.479,0.534,-0.883,1.16,0.008,-19.286
4,20,-32,-1.297,0.608,-0.777,1.075,0.008,-16.698
4,20,-28,-4.773,0.679,-3.896,2.728,0.008,-14.109
4,20,-24,-3.701,0.745,-3.078,2.09,0.008,-11.521
4,20,-20,-2.732,0.804,-2.292,1.612,0.008,-8.931
4,20,-16,-1.871,0.856,-1.562,1.278,0.008,-6.334
4,20,-12,-1.118,0.9,-0.906,1.07,0.008,-3.756
4,20,-8,-0.448,0.94,-0.313,0.965,0.008,-1.164
4,20,-4,0.047,0.973,0.115,0.954,0.008,1.427
4,20,0,0.307,0.999,0.307,0.999,0.008,4.018
4,20,4,0.569,1.018,0.496,1.068,0.008,6.609
4,20,8,1.069,1.029,0.916,1.194,0.008,9.199
4,20,12,1.748,1.033,1.495,1.414,0.008,11.788
4,20,16,2.513,1.028,2.132,1.736,0.008,14.377
4,20,20,3.377,1.015,2.827,2.178,0.008,16.966
4,20,24,4.335,0.994,3.556,2.753,0.008,19.555
4,20,28,5.381,0.966,4.298,3.472,0.008,22.143
4,20,32,1.864,0.93,1.088,1.879,0.008,24.731
4,20,36,1.993,0.888,1.091,2,0.008,27.318
4,20,40,2.099,0.841,1.068,2.107,0.008,29.905
4,30,-40,-1.452,0.458,-0.818,1.045,0.008,-19.865
4,30,-36,-1.288,0.545,-0.722,0.979,0.008,-17.277
4,30,-32,-1.116,0.629,-0.613,0.928,0.008,-14.688
4,30,-28,-4.607,0.707,-3.736,2.616,0.008,-12.098
4,30,-24,-3.552,0.779,-2.928,2.011,0.008,-9.499
4,30,-20,-2.599,0.844,-2.153,1.564,0.008,-6.931
4,30,-16,-1.74,0.906,-1.423,1.26,0.008,-4.336
4,30,-12,-0.981,0.964,-0.759,1.082,0.008,-1.745
4,30,-8,-0.309,1.015,-0.164,1.008,0.008,0.846
4,30,-4,0.185,1.06,0.258,1.026,0.008,3.437
4,30,0,0.439,1.098,0.439,1.098,0.008,6.027
4,30,4,0.692,1.127,0.612,1.19,0.008,8.618
4,30,8,1.18,1.146,1.009,1.337,0.008,11.208
4,30,12,1.843,1.157,1.562,1.572,0.008,13.797
4,30,16,2.589,1.157,2.17,1.903,0.008,16.386
4,30,20,3.432,1.147,2.833,2.348,0.008,18.975
4,30,24,4.366,1.127,3.53,2.919,0.008,21.563
4,30,28,5.387,1.098,4.241,3.627,0.008,24.151
4,30,32,1.845,1.059,1.003,2.016,0.008,26.739
4,30,36,1.948,1.013,0.981,2.112,0.008,29.326
4,30,40,2.028,0.959,0.938,2.189,0.008,31.913
